,parser,expr_len,time
9,llvm,10,1.1704740400000446e-08
10,llvm,11,1.200231980001263e-08
11,llvm,12,1.2774730000001e-08
12,llvm,13,1.2854932700020072e-08
13,llvm,14,1.2918120299991643e-08
14,llvm,15,1.2774393199970291e-08
15,llvm,16,1.383598960001109e-08
16,llvm,17,1.3540069299961033e-08
17,llvm,18,1.4743879599973298e-08
18,llvm,19,1.4483590999998342e-08
19,llvm,20,1.5123170800006846e-08
20,llvm,21,1.551279550003528e-08
21,llvm,22,1.5561621699998796e-08
22,llvm,23,1.5808142800005953e-08
23,llvm,24,1.6704686000002765e-08
